id,user_id,word_id,date,question,given_answer,correct,context,context_correct,conjugation_correct
Cathal_2024-07-02T10:35:16_siblings_irmãos,1,siblings_irmãos,2024-07-02T10:35:16,What is the Portuguese of Siblings?,imâos,False,n/a,True,True
Cathal_2024-07-02T16:35:47_to_read_ler,1,to_read_ler,2024-07-02T16:35:47,What is the Portuguese of To Read?,ler,True,n/a,True,True
Cathal_2024-07-02T16:35:47_to_close_fechar,1,to_close_fechar,2024-07-02T16:35:47,What is the Portuguese of To Close?,cloasr,False,n/a,True,True
Cathal_2024-07-02T16:44:12_worried_preocupad,1,worried_preocupad,2024-07-02T16:44:12,What is the Portuguese of Worried (feminine)?,anxida,False,n/a,True,True
Cathal_2024-07-02T09:39:08_meat_section_carnes,1,meat_section_carnes,2024-07-02T16:44:12,What is the Portuguese of meat section?,carnes,True,n/a,True,True
Cathal_2024-07-02T09:39:08_uncles/aunts_tios,1,uncles/aunts_tios,2024-07-02T16:44:12,What is the Portuguese of Uncles/Aunts?,tios,True,n/a,True,True
Cathal_2024-07-02T09:39:08_sad_triste,1,sad_triste,2024-07-02T16:46:07,What is the Portuguese of Sad?,cansado,False,n/a,True,True
Cathal_2024-07-02T09:39:08_to_have_drink/food_tomar,1,to_have_drink/food_tomar,2024-07-02T16:46:07,What is the Portuguese of To have drink/food?,jantar,False,n/a,True,True
Cathal_2024-07-02T09:39:08_to_be_estar,1,to_be_estar,2024-07-02T16:46:07,What is the Portuguese of To Be(moods/situations)?,estar,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_work_trabalhar,1,to_work_trabalhar,2024-07-02T16:46:07,What is the English of Trabalhar?,to work,True,n/a,True,True
Cathal_2024-07-02T09:39:08_colleague_coleg,1,colleague_coleg,2024-07-02T16:46:07,What is the Portuguese of Colleague (feminine)?,colleaga,False,n/a,True,True
Cathal_2024-07-02T09:39:08_to_love_adorar,1,to_love_adorar,2024-07-03T14:01:52,What is the English of Adorar?,to love,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_do/make_fazer,1,to_do/make_fazer,2024-07-03T14:01:52,What is the Portuguese of To Do/Make?,fazer,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_happen_acontecer,1,to_happen_acontecer,2024-07-03T14:03:23,What is the Portuguese of To Happen?,uhh,False,n/a,True,True
Cathal_2024-07-02T09:39:08_unwell_mal,1,unwell_mal,2024-07-03T14:03:23,What is the Portuguese of Unwell?,mal,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_arrive_chegar,1,to_arrive_chegar,2024-07-03T14:03:23,What is the Portuguese of To Arrive?,chegar,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_see_ver,1,to_see_ver,2024-07-03T14:03:23,What is the Portuguese of To See?,ver,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_dine_jantar,1,to_dine_jantar,2024-07-03T14:03:23,What is the Portuguese of To Dine?,jantar,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_cook_cozinhar,1,to_cook_cozinhar,2024-07-03T14:19:39,What is the English of Cozinhar?,to cook,True,n/a,True,True
Cathal_2024-07-02T09:39:08_to_lose_perder,1,to_lose_perder,2024-07-03T14:19:39,What is the English of Perder?,to lose,True,n/a,True,True
Cathal_2024-07-03T16:02:59_to_go_for_walks_passear,1,to_go_for_walks_passear,2024-07-03T16:02:59,What is the English of Passear?,to go for a stroll,False,n/a,True,True
Cathal_2024-07-08T14:43:18_to_sell_vender,1,to_sell_vender,2024-07-08T14:43:18,What is the English of Vender?,to sell,True,n/a,True,True
Cathal_2024-07-10T16:02:47_to_love_adorar,1,to_love_adorar,2024-07-10T16:02:47,What is the English of Adorar?,to love,True,n/a,True,True
Cathal_2024-07-10T16:05:16_surprised_surpreendid,1,surprised_surpreendid,2024-07-10T16:05:16,What is the Portuguese of Surprised (masculine)?,a,False,n/a,True,True
Cathal_2024-07-10T16:05:16_farmer_agricultor,1,farmer_agricultor,2024-07-10T16:05:16,What is the Portuguese of Farmer (feminine)?,v,False,n/a,True,True
Cathal_2024-07-10T16:05:16_grandchildren_netos,1,grandchildren_netos,2024-07-10T16:05:16,What is the Portuguese of Grandchildren?,b,False,n/a,True,True
Cathal_2024-07-10T16:05:16_sleepy_sono,1,sleepy_sono,2024-07-10T16:05:16,What is the English of Sono?,c,False,n/a,True,True
Cathal_2024-07-10T16:05:16_computing_informática,1,computing_informática,2024-07-10T16:05:16,What is the English of Informática?,d,False,n/a,True,True
Cathal_2024-07-11T10:45:35_to_arrive_chegar,1,to_arrive_chegar,2024-07-11T10:45:35,What is the Portuguese of To Arrive?,chegar,True,n/a,True,True
Cathal_2024-07-11T11:39:22_to_bring_trazer,1,to_bring_trazer,2024-07-11T11:39:22,What is the Portuguese of To Bring?,trazer,True,n/a,True,True
Cathal_2024-07-11T14:47:51_lunch_almoço,1,lunch_almoço,2024-07-11T14:47:51,What is the Portuguese of Lunch?,refiçâo ,False,n/a,True,True
